sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3318,SO2,2018-06-04T06:10:18Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/04/S5P_RPRO_L2__SO2____20180604T061018_20180604T075148_03318_03_020401_20230118T005814/S5P_RPRO_L2__SO2____20180604T061018_20180604T075148_03318_03_020401_20230118T005814.nc,1.0
3361,HCHO,2018-06-07T06:54:44Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/07/S5P_RPRO_L2__HCHO___20180607T065444_20180607T083614_03361_03_020401_20230118T161542/S5P_RPRO_L2__HCHO___20180607T065444_20180607T083614_03361_03_020401_20230118T161542.nc,1.0
3361,NO2,2018-06-07T06:54:44Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/07/S5P_RPRO_L2__NO2____20180607T065444_20180607T083614_03361_03_020400_20221129T170725/S5P_RPRO_L2__NO2____20180607T065444_20180607T083614_03361_03_020400_20221129T170725.nc,1.0
3361,SO2,2018-06-07T06:54:44Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/07/S5P_RPRO_L2__SO2____20180607T065444_20180607T083614_03361_03_020401_20230118T163603/S5P_RPRO_L2__SO2____20180607T065444_20180607T083614_03361_03_020401_20230118T163603.nc,1.0
3375,HCHO,2018-06-08T06:35:42Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/08/S5P_RPRO_L2__HCHO___20180608T063542_20180608T081712_03375_03_020401_20230118T175503/S5P_RPRO_L2__HCHO___20180608T063542_20180608T081712_03375_03_020401_20230118T175503.nc,1.0
3375,NO2,2018-06-08T06:35:42Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/08/S5P_RPRO_L2__NO2____20180608T063542_20180608T081712_03375_03_020400_20221129T171553/S5P_RPRO_L2__NO2____20180608T063542_20180608T081712_03375_03_020400_20221129T171553.nc,1.0
3375,SO2,2018-06-08T06:35:42Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/08/S5P_RPRO_L2__SO2____20180608T063542_20180608T081712_03375_03_020401_20230118T183403/S5P_RPRO_L2__SO2____20180608T063542_20180608T081712_03375_03_020401_20230118T183403.nc,1.0
3389,HCHO,2018-06-09T06:16:40Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/09/S5P_RPRO_L2__HCHO___20180609T061640_20180609T075810_03389_03_020401_20230118T193124/S5P_RPRO_L2__HCHO___20180609T061640_20180609T075810_03389_03_020401_20230118T193124.nc,1.0
3389,NO2,2018-06-09T06:16:40Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/09/S5P_RPRO_L2__NO2____20180609T061640_20180609T075810_03389_03_020400_20221129T172452/S5P_RPRO_L2__NO2____20180609T061640_20180609T075810_03389_03_020400_20221129T172452.nc,1.0
3389,SO2,2018-06-09T06:16:40Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/09/S5P_RPRO_L2__SO2____20180609T061640_20180609T075810_03389_03_020401_20230118T204617/S5P_RPRO_L2__SO2____20180609T061640_20180609T075810_03389_03_020401_20230118T204617.nc,1.0
3418,HCHO,2018-06-11T07:20:06Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/11/S5P_RPRO_L2__HCHO___20180611T072006_20180611T090136_03418_03_020401_20230118T231036/S5P_RPRO_L2__HCHO___20180611T072006_20180611T090136_03418_03_020401_20230118T231036.nc,1.0
3418,NO2,2018-06-11T07:20:06Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/11/S5P_RPRO_L2__NO2____20180611T072006_20180611T090136_03418_03_020400_20221129T174146/S5P_RPRO_L2__NO2____20180611T072006_20180611T090136_03418_03_020400_20221129T174146.nc,1.0
3418,SO2,2018-06-11T07:20:06Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/11/S5P_RPRO_L2__SO2____20180611T072006_20180611T090136_03418_03_020401_20230119T003610/S5P_RPRO_L2__SO2____20180611T072006_20180611T090136_03418_03_020401_20230119T003610.nc,1.0
3432,HCHO,2018-06-12T07:01:04Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/12/S5P_RPRO_L2__HCHO___20180612T070104_20180612T084234_03432_03_020401_20230119T011017/S5P_RPRO_L2__HCHO___20180612T070104_20180612T084234_03432_03_020401_20230119T011017.nc,1.0
3432,NO2,2018-06-12T07:01:04Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/12/S5P_RPRO_L2__NO2____20180612T070104_20180612T084234_03432_03_020400_20221129T175001/S5P_RPRO_L2__NO2____20180612T070104_20180612T084234_03432_03_020400_20221129T175001.nc,1.0
3432,SO2,2018-06-12T07:01:04Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/12/S5P_RPRO_L2__SO2____20180612T070104_20180612T084234_03432_03_020401_20230119T023226/S5P_RPRO_L2__SO2____20180612T070104_20180612T084234_03432_03_020401_20230119T023226.nc,1.0
3446,HCHO,2018-06-13T06:42:02Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/13/S5P_RPRO_L2__HCHO___20180613T064202_20180613T082332_03446_03_020401_20230119T030536/S5P_RPRO_L2__HCHO___20180613T064202_20180613T082332_03446_03_020401_20230119T030536.nc,1.0
3446,NO2,2018-06-13T06:42:02Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/13/S5P_RPRO_L2__NO2____20180613T064202_20180613T082332_03446_03_020400_20221129T175821/S5P_RPRO_L2__NO2____20180613T064202_20180613T082332_03446_03_020400_20221129T175821.nc,1.0
3446,SO2,2018-06-13T06:42:02Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/13/S5P_RPRO_L2__SO2____20180613T064202_20180613T082332_03446_03_020401_20230119T042523/S5P_RPRO_L2__SO2____20180613T064202_20180613T082332_03446_03_020401_20230119T042523.nc,1.0
