sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3236,SO2,2018-05-29T11:27:23Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/29/S5P_RPRO_L2__SO2____20180529T112723_20180529T130853_03236_03_020401_20230117T151627/S5P_RPRO_L2__SO2____20180529T112723_20180529T130853_03236_03_020401_20230117T151627.nc,1.0
3250,HCHO,2018-05-30T11:08:22Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/30/S5P_RPRO_L2__HCHO___20180530T110822_20180530T124952_03250_03_020401_20230117T152948/S5P_RPRO_L2__HCHO___20180530T110822_20180530T124952_03250_03_020401_20230117T152948.nc,1.0
3250,NO2,2018-05-30T11:08:22Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/30/S5P_RPRO_L2__NO2____20180530T110822_20180530T124952_03250_03_020400_20221129T154333/S5P_RPRO_L2__NO2____20180530T110822_20180530T124952_03250_03_020400_20221129T154333.nc,1.0
3250,SO2,2018-05-30T11:08:22Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/30/S5P_RPRO_L2__SO2____20180530T110822_20180530T124952_03250_03_020401_20230117T164625/S5P_RPRO_L2__SO2____20180530T110822_20180530T124952_03250_03_020401_20230117T164625.nc,1.0
3264,HCHO,2018-05-31T10:49:22Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/31/S5P_RPRO_L2__HCHO___20180531T104922_20180531T123052_03264_03_020401_20230117T165906/S5P_RPRO_L2__HCHO___20180531T104922_20180531T123052_03264_03_020401_20230117T165906.nc,1.0
3264,NO2,2018-05-31T10:49:22Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/31/S5P_RPRO_L2__NO2____20180531T104922_20180531T123052_03264_03_020400_20221129T160808/S5P_RPRO_L2__NO2____20180531T104922_20180531T123052_03264_03_020400_20221129T160808.nc,1.0
3264,SO2,2018-05-31T10:49:22Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/31/S5P_RPRO_L2__SO2____20180531T104922_20180531T123052_03264_03_020401_20230117T182319/S5P_RPRO_L2__SO2____20180531T104922_20180531T123052_03264_03_020401_20230117T182319.nc,1.0
3278,HCHO,2018-06-01T10:30:21Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/01/S5P_RPRO_L2__HCHO___20180601T103021_20180601T121151_03278_03_020401_20230117T182333/S5P_RPRO_L2__HCHO___20180601T103021_20180601T121151_03278_03_020401_20230117T182333.nc,1.0
3278,NO2,2018-06-01T10:30:21Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/01/S5P_RPRO_L2__NO2____20180601T103021_20180601T121151_03278_03_020400_20221129T161629/S5P_RPRO_L2__NO2____20180601T103021_20180601T121151_03278_03_020400_20221129T161629.nc,1.0
3278,SO2,2018-06-01T10:30:21Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/01/S5P_RPRO_L2__SO2____20180601T103021_20180601T121151_03278_03_020401_20230117T195436/S5P_RPRO_L2__SO2____20180601T103021_20180601T121151_03278_03_020401_20230117T195436.nc,1.0
3293,HCHO,2018-06-02T11:52:50Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/02/S5P_RPRO_L2__HCHO___20180602T115250_20180602T133420_03293_03_020401_20230117T194309/S5P_RPRO_L2__HCHO___20180602T115250_20180602T133420_03293_03_020401_20230117T194309.nc,1.0
3293,NO2,2018-06-02T11:52:50Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/02/S5P_RPRO_L2__NO2____20180602T115250_20180602T133420_03293_03_020400_20221129T161654/S5P_RPRO_L2__NO2____20180602T115250_20180602T133420_03293_03_020400_20221129T161654.nc,1.0
3293,SO2,2018-06-02T11:52:50Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/02/S5P_RPRO_L2__SO2____20180602T115250_20180602T133420_03293_03_020401_20230117T214032/S5P_RPRO_L2__SO2____20180602T115250_20180602T133420_03293_03_020401_20230117T214032.nc,1.0
