sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3251,HCHO,2018-05-30T12:49:52Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/30/S5P_RPRO_L2__HCHO___20180530T124952_20180530T143122_03251_03_020401_20230117T152949/S5P_RPRO_L2__HCHO___20180530T124952_20180530T143122_03251_03_020401_20230117T152949.nc,1.0
3251,NO2,2018-05-30T12:49:52Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/30/S5P_RPRO_L2__NO2____20180530T124952_20180530T143122_03251_03_020400_20221129T154334/S5P_RPRO_L2__NO2____20180530T124952_20180530T143122_03251_03_020400_20221129T154334.nc,1.0
3251,SO2,2018-05-30T12:49:52Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/30/S5P_RPRO_L2__SO2____20180530T124952_20180530T143122_03251_03_020401_20230117T164626/S5P_RPRO_L2__SO2____20180530T124952_20180530T143122_03251_03_020401_20230117T164626.nc,1.0
3265,HCHO,2018-05-31T12:30:52Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/31/S5P_RPRO_L2__HCHO___20180531T123052_20180531T141222_03265_03_020401_20230117T165906/S5P_RPRO_L2__HCHO___20180531T123052_20180531T141222_03265_03_020401_20230117T165906.nc,1.0
3265,NO2,2018-05-31T12:30:52Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/31/S5P_RPRO_L2__NO2____20180531T123052_20180531T141222_03265_03_020400_20221129T160809/S5P_RPRO_L2__NO2____20180531T123052_20180531T141222_03265_03_020400_20221129T160809.nc,1.0
3265,SO2,2018-05-31T12:30:52Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/31/S5P_RPRO_L2__SO2____20180531T123052_20180531T141222_03265_03_020401_20230117T182320/S5P_RPRO_L2__SO2____20180531T123052_20180531T141222_03265_03_020401_20230117T182320.nc,1.0
3279,HCHO,2018-06-01T12:11:51Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/01/S5P_RPRO_L2__HCHO___20180601T121151_20180601T135321_03279_03_020401_20230117T182333/S5P_RPRO_L2__HCHO___20180601T121151_20180601T135321_03279_03_020401_20230117T182333.nc,1.0
3279,NO2,2018-06-01T12:11:51Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/01/S5P_RPRO_L2__NO2____20180601T121151_20180601T135321_03279_03_020400_20221129T161631/S5P_RPRO_L2__NO2____20180601T121151_20180601T135321_03279_03_020400_20221129T161631.nc,1.0
3279,SO2,2018-06-01T12:11:51Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/01/S5P_RPRO_L2__SO2____20180601T121151_20180601T135321_03279_03_020401_20230117T195437/S5P_RPRO_L2__SO2____20180601T121151_20180601T135321_03279_03_020401_20230117T195437.nc,1.0
3293,HCHO,2018-06-02T11:52:50Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/02/S5P_RPRO_L2__HCHO___20180602T115250_20180602T133420_03293_03_020401_20230117T194309/S5P_RPRO_L2__HCHO___20180602T115250_20180602T133420_03293_03_020401_20230117T194309.nc,1.0
3293,NO2,2018-06-02T11:52:50Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/02/S5P_RPRO_L2__NO2____20180602T115250_20180602T133420_03293_03_020400_20221129T161654/S5P_RPRO_L2__NO2____20180602T115250_20180602T133420_03293_03_020400_20221129T161654.nc,1.0
3293,SO2,2018-06-02T11:52:50Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/02/S5P_RPRO_L2__SO2____20180602T115250_20180602T133420_03293_03_020401_20230117T214032/S5P_RPRO_L2__SO2____20180602T115250_20180602T133420_03293_03_020401_20230117T214032.nc,1.0
3322,HCHO,2018-06-04T12:56:18Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/04/S5P_RPRO_L2__HCHO___20180604T125618_20180604T143747_03322_03_020401_20230117T222039/S5P_RPRO_L2__HCHO___20180604T125618_20180604T143747_03322_03_020401_20230117T222039.nc,1.0
3322,NO2,2018-06-04T12:56:18Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/04/S5P_RPRO_L2__NO2____20180604T125618_20180604T143747_03322_03_020400_20221129T164942/S5P_RPRO_L2__NO2____20180604T125618_20180604T143747_03322_03_020400_20221129T164942.nc,1.0
3322,SO2,2018-06-04T12:56:18Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/04/S5P_RPRO_L2__SO2____20180604T125618_20180604T143747_03322_03_020401_20230118T005817/S5P_RPRO_L2__SO2____20180604T125618_20180604T143747_03322_03_020401_20230118T005817.nc,1.0
3336,HCHO,2018-06-05T12:37:16Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/05/S5P_RPRO_L2__HCHO___20180605T123716_20180605T141846_03336_03_020401_20230117T233731/S5P_RPRO_L2__HCHO___20180605T123716_20180605T141846_03336_03_020401_20230117T233731.nc,1.0
3336,NO2,2018-06-05T12:37:16Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/05/S5P_RPRO_L2__NO2____20180605T123716_20180605T141846_03336_03_020400_20221129T165014/S5P_RPRO_L2__NO2____20180605T123716_20180605T141846_03336_03_020400_20221129T165014.nc,1.0
3336,SO2,2018-06-05T12:37:16Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/05/S5P_RPRO_L2__SO2____20180605T123716_20180605T141846_03336_03_020401_20230118T022426/S5P_RPRO_L2__SO2____20180605T123716_20180605T141846_03336_03_020401_20230118T022426.nc,1.0
3350,HCHO,2018-06-06T12:18:15Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/06/S5P_RPRO_L2__HCHO___20180606T121815_20180606T135945_03350_03_020401_20230118T082940/S5P_RPRO_L2__HCHO___20180606T121815_20180606T135945_03350_03_020401_20230118T082940.nc,1.0
3350,NO2,2018-06-06T12:18:15Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/06/S5P_RPRO_L2__NO2____20180606T121815_20180606T135945_03350_03_020400_20221129T165853/S5P_RPRO_L2__NO2____20180606T121815_20180606T135945_03350_03_020400_20221129T165853.nc,1.0
3350,SO2,2018-06-06T12:18:15Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/06/S5P_RPRO_L2__SO2____20180606T121815_20180606T135945_03350_03_020401_20230118T082939/S5P_RPRO_L2__SO2____20180606T121815_20180606T135945_03350_03_020401_20230118T082939.nc,1.0
3364,HCHO,2018-06-07T11:59:13Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/07/S5P_RPRO_L2__HCHO___20180607T115913_20180607T134043_03364_03_020401_20230118T161544/S5P_RPRO_L2__HCHO___20180607T115913_20180607T134043_03364_03_020401_20230118T161544.nc,1.0
3364,NO2,2018-06-07T11:59:13Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/07/S5P_RPRO_L2__NO2____20180607T115913_20180607T134043_03364_03_020400_20221129T171527/S5P_RPRO_L2__NO2____20180607T115913_20180607T134043_03364_03_020400_20221129T171527.nc,1.0
3364,SO2,2018-06-07T11:59:13Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/07/S5P_RPRO_L2__SO2____20180607T115913_20180607T134043_03364_03_020401_20230118T163605/S5P_RPRO_L2__SO2____20180607T115913_20180607T134043_03364_03_020401_20230118T163605.nc,1.0
3378,HCHO,2018-06-08T11:40:12Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/08/S5P_RPRO_L2__HCHO___20180608T114012_20180608T132142_03378_03_020401_20230118T175505/S5P_RPRO_L2__HCHO___20180608T114012_20180608T132142_03378_03_020401_20230118T175505.nc,1.0
